date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:56:51	24295/24295	---M--	200	added ('OK')	image/jpeg	date:Fri,%2029%20Sep%202017%2015:32:54%20GMT	https://www.harvestcoin.org/images/header-footer-section.jpg	C:/My%20Web%20Sites/harvest/www.harvestcoin.org/images/header-footer-section.jpg	(from https://www.harvestcoin.org/css/style.css)
16:56:51	4874/4874	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Sep%202017%2015:33:02%20GMT	https://www.harvestcoin.org/images/bg-s1.png	C:/My%20Web%20Sites/harvest/www.harvestcoin.org/images/bg-s1.png	(from https://www.harvestcoin.org/css/style.css)
16:56:52	109243/109243	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Sep%202017%2015:32:42%20GMT	https://www.harvestcoin.org/images/v-bg-min.png	C:/My%20Web%20Sites/harvest/www.harvestcoin.org/images/v-bg-min.png	(from https://www.harvestcoin.org/css/style.css)
16:56:52	4766/4766	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Sep%202017%2015:32:56%20GMT	https://www.harvestcoin.org/images/get-white-paper-image.png	C:/My%20Web%20Sites/harvest/www.harvestcoin.org/images/get-white-paper-image.png	(from https://www.harvestcoin.org/css/style.css)
16:56:53	76665/76665	---M--	200	added ('OK')	image/jpeg	date:Fri,%2029%20Sep%202017%2015:32:52%20GMT	https://www.harvestcoin.org/images/hero.jpg	C:/My%20Web%20Sites/harvest/www.harvestcoin.org/images/hero.jpg	(from https://www.harvestcoin.org/css/style.css)
16:56:54	84170/84170	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Sep%202017%2015:32:48%20GMT	https://www.harvestcoin.org/images/n-bg.png	C:/My%20Web%20Sites/harvest/www.harvestcoin.org/images/n-bg.png	(from https://www.harvestcoin.org/css/style.css)
16:56:54	33598/33598	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Sep%202017%2015:32:58%20GMT	https://www.harvestcoin.org/images/footer-bg.png	C:/My%20Web%20Sites/harvest/www.harvestcoin.org/images/footer-bg.png	(from https://www.harvestcoin.org/css/style.css)
16:56:55	69209/69209	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Sep%202017%2015:32:50%20GMT	https://www.harvestcoin.org/images/inner-page-bg.png	C:/My%20Web%20Sites/harvest/www.harvestcoin.org/images/inner-page-bg.png	(from https://www.harvestcoin.org/css/style.css)
16:56:59	321005/321005	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Oct%202017%2022:18:36%20GMT	https://www.harvestcoin.org/images/road-map.png	C:/My%20Web%20Sites/harvest/www.harvestcoin.org/images/road-map.png	(from https://www.harvestcoin.org/road-map.html)
16:57:00	7274/7274	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Nov%202017%2006:36:02%20GMT	https://www.harvestcoin.org/recover_password.html	C:/My%20Web%20Sites/harvest/www.harvestcoin.org/recover_password.html	(from https://www.harvestcoin.org/sign_in.html)
16:57:00	8067/8067	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Nov%202017%2006:38:21%20GMT	https://www.harvestcoin.org/sign_up.html	C:/My%20Web%20Sites/harvest/www.harvestcoin.org/sign_up.html	(from https://www.harvestcoin.org/sign_in.html)
16:57:02	4282500/4282500	---M--	200	added ('OK')	application/zip	date:Mon,%2006%20Nov%202017%2013:40:59%20GMT	https://www.harvestcoin.org/images/Harvest-qt%20(Linux).zip	C:/My%20Web%20Sites/harvest/www.harvestcoin.org/images/Harvest-qt%20(Linux).zip	(from https://www.harvestcoin.org/download-white-paper.html)
16:57:06	12345994/12345994	---M--	200	added ('OK')	application/zip	date:Mon,%2006%20Nov%202017%2013:06:23%20GMT	https://www.harvestcoin.org/images/Harvest-qt%20(Window).zip	C:/My%20Web%20Sites/harvest/www.harvestcoin.org/images/Harvest-qt%20(Window).zip	(from https://www.harvestcoin.org/download-white-paper.html)
16:57:10	18790670/18790670	---M--	200	added ('OK')	application/zip	date:Mon,%2006%20Nov%202017%2013:42:16%20GMT	https://www.harvestcoin.org/images/Harvest-qt%20(Mac).zip	C:/My%20Web%20Sites/harvest/www.harvestcoin.org/images/Harvest-qt%20(Mac).zip	(from https://www.harvestcoin.org/download-white-paper.html)
